NV_PN,JEDEC_TYPE,DESCRIPTION,COSTS,MPN,MANUFACTURER,COMPLIANCE,LEAD_TIME,SOURCE_EXPANSION,PACK_TYPE,TEMP_RANGE
300-0708-000,DFET_SMD_056X052,XSTR PWR MOSFET DUAL N-CH WITH INTEGRATED SCHOTTKY 30V HIGH SIDE 18A 10mOHM MAX @ 4.5V LOW SIDE 23A 6.2mOHM MAX @ 4.5V DFN8,0.23,NTMFD4902NFT1G,ON SEMI,P8E1-7a-A-1,84,CCM,WPAK_DUAL_COPAD,-55degC..150degC
315-0979-000,SOT223,VREG LINEAR SOT223_GOI Low Drop Out 105.0mV 1.25V 7.0V 0.07% LM317DCYRG3 3-terminal Adj Regulator,0,LM317DCYR,TI,P8E0-B-1,999,CCM,SOT223_GOI,-3.1degC..125.05degC
115-1438-000,XSOP06_P095_030X015,IC Other SOT23 LT6700HVIS6-3,[ ],LT6700HVIS6-3 TRPBF,Linear,P8E10,60,CCM,SOT23,-40degC..85degC
036-0099-000,1206,CAP X7R 1206 1uF 50V 10%,0.018,Multi(3),Multi(3),P7,85,CCM,1206,-55degC..125degC
320-0960-000,SHIELDING_210X210,Tuner Can 21.8mmX21.8mmX3.0mm Shielding Can,0.85,36103205,Wurth,P8E10,60,CCM,1PIN,0.85
115-1877-000,QFN024Q_P050_0045_T028X028,IC PROCESSOR CPU QFN24 CP8347AT (Pre-Programmed CY8C4014),0.40,CP8347AT,Cypress,P8E8,56,CCM,QFN24,-40.15degC..100.05degC
064-0248-000,CON_FAKRA_005_SMT_RA_M_225X085,AUTOMOTIVE Connector (TH High Temp) CONN FAKRA-HF BEIGE CODE I,0.7603,59S2AQ-40MT5-I_1,Rosenberger,P8E10,35,AUTOMOTIVE,SINGLE,CON_FAKRA_005_SMT_RA_M_225X085
080-0756-000,CON_SD_013_SMD_RA_P011,CONN SMD MICRO SD PUSH WITH CD PIN FEMALE RA 8 POS 1.1mm PITCH,0.22,CPTFBT2-08GLBS1N14H0,Tai Twun Group,P8E1-6a-A-2,60,CCM,SMD13_B,Validation
T124XB-INT-A-A1,BGA_1208_P100_425_425,T124AutoVCM3.0 4xCore-4G-64M-A-A01 ENG,[ ],[ ],[ ],[ ],7,[ ],BGA1208,-40degC..105degC
195-2601-000,0201,RES SCD 0201 78.7 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
100-0025-000,IND_SMD_0603,FER BEAD 0603 165-220 OHM@100MHz 0.050 OHM MAX dcR 2A MAX,0.0058,MPZ1608S221AT~VERA,TDK,P8E8,70,CCM,BEAD_0603,[ ]..[ ]
195-0253-000,0402,RES SCD 0402 332 1% 1/16W,0.00017,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-1362-000,0402,RES 0402 7.5kohm 1.0% PACHINKO,0.001,RK73H1ETTP7501F~VERA,KOA Speer,P8E1-7cI-A-2,42,PACHINKO,0402,-55degC..155degC
075-0255-000,CON_PWR_002X003_TH_RA_M_P042,CONN THRU 2X3 PCI-E PWR BLACK,0.1,CONNPCIF1123-H,Win Win Precision,P8E8,60,CCM,PCIEPWR,N/A
036-0204-000,0402,CAP AUTOMOTIVE 0402 X7R 1800pF 50V 10%,[ ],GCM155R71H182KA37D~VERB,Murata,P8E0-B-2,30,AUTOMOTIVE,0402,-55degC..125degC
195-2950-000,0402,RES AUTOMOTIVE 0402 4.32 kohm 1.0 % 62.5 mW,0.00104,TFA0402R4321F-T10,Thin Film,P8E1-7cI-A-2,63,AUTOMOTIVE,0402,-55.15degC..155.05degC
195-1277-000,0603,RES SCD 0603 68K 5% 1/10W,0.0008,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
115-2103-000,XSOP08_P065_030X030,IC GENERAL Opamp VSSOP LMH6551MM Fully Differential Amplifier,[ ],LMH6551MM/NOPB,TI,P8E0-B-1,60,CCM,VSSOP8,-40.15degC..125.05degC
195-2705-000,0402,RES AUTOMOTIVE 0402 4.7K 5% 1/16W,0.00059,MCR01MZPJ472~VERB,Rohm,Compliance Unknown,119,AUTOMOTIVE,0402,-55degC..155degC
100-0232-000,IND_SMD_0603,FERRITE BEAD BEAD_0603 Ferrite 30.0 ohm 25.0 % 10.0 mohm 5.0 A,0.0031,GMLB-160808-0030S-N1,Mag Layers,P8E0-A-2,63,CCM,BEAD_0603,-40.15degC..125.05degC
195-3314-000,0402,RES SERVER 0402 140K 1% 1/16W,0.00076,Multi(4),Multi(4),P8E1-7cI-C-1,49,UNRESTRICTED,0402,-55degC..155degC
074-0098-000,CON_WAFER232_004_TH_ST_P020,HDR THRU HI TEMP 1X4 2MM PITCH VERTSHROUDED WAFER HOUSING BLACK,0.02,5750004-906-H,Astron,P8E0-A-3,42,UNRESTRICTED,NORM,Parameter N/A
085-0275-000,XTAL_SMD_4_060X035,XTAL SMD_60X35 24.0MHz 20.0ppm Fundamental 18.0pF H10S-24.000-18-2020-EXT-TR XTAL,0.195,H10S-24.000-18-2020-EXT-TR,RAMI,P8E0-A-2,45,CCM,SMD_60X35,-40.15degC..84.85degC
195-1007-000,0603,RES SCD 0603 54.9 1% 1/10W,0.00072,Multi(10),Multi(10),P7,28,SCD,0603,-55degC..155degC
195-1559-000,0603,RES PACHINKO 0603 1.82k 1% 1/10W,0.0011,RK73H1JTTD1821F~VERA,KOA Speer,P8E1-7cI-A-2,42,PACHINKO,0603,-55degC..155degC
115-1995-000,XSOP06_P095_030X015,IC GENERAL AUTOMOTIVE Amplifier SOT23_6 NCV2002SN2T1G,[ ],NCV2002SN2T1G,ON SEMI,P8E0-A-1,60,AUTOMOTIVE,SOT23_6,-40.15degC..125.05degC
195-1239-000,0603,RES SCD 0603 43 5% 1/10W,0.00028,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
195-0062-000,0402,RES SCD 0402 13.3 1% 1/16W,0.0006,Multi(10),Multi(10),P7,42,SCD,0402,-55degC..155degC
036-0126-000,0805,CAP X7R 0805 0.1uF 50V 10%,0.00078,Multi(5),Multi(5),P8E8,56,CCM,0805,-55degC..125degC
039-0182-000,1206,CAP AUTOMOTIVE X7R 1206 22uF 6.3V 20%,0.08,GCM31CR70J226ME23L~VERB,Murata,P8E0-B-2,133,AUTOMOTIVE,1206,-55degC..125degC
080-1401-000,CON_MISC_040_SMD_ST_F_P004_BTB_J,"CONN, 0.4mm pitch, stacking type board-to-board (fpc)",1.176,WP7B-S040VA1-R6000,JAE,P8E10,999,UNRESTRICTED,SMD40,CON_MISC_040_SMD_ST_F_P004_BTB_J
115-1736-000,QFN064Q_P050_0090_T049X056_VIAS,IC AUTOMOTIVE Tuner QFN64 STA610 AM FM HD DRM DAB,[ ],STA610,STMicroelectronics,P8E10,60,AUTOMOTIVE,QFN64,-40.15degC..84.85degC
195-1064-000,0603,RES SCD 0603 7.15K 1% 1/10W,0.0005,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
115-2438-000,QFN020R_P050_0045X0025_T032X012,IC LOGIC PCIE MUX - 2 Differential Channels - 2:1 PI1DBS16212ZBSE TQFN-20_R,0,PI1DBS16212ZBSE,Diodes,P8E10,999,CCM,TQFN_20_R,-40degC..85degC
065-0361-000,CON_RCA_002_TH_RA_F,CONN THRU RCA JACK FEMALE RA 2 POS ORANGE,1.053,RCJ-047,CUI,P8E10,71,CCM,CON_RCA_2,Validation
065-0632-000,CON_FAKRA_005_SMT_RA_M_225X085,Connector (TH Non High Temp) AKRA MALE RA WATERBLUE SINGLE,0.3476,59S2AQ-40MT5-Z_1,Rosenberger,P8E1-6c-A-2,35,CCM,SINGLE,CON_FAKRA_005_SMT_RA_M_225X085
195-3500-000,0805,RES AUTOMOTIVE 0805 6.8ohm 5% 0.125W,0.00075,MCR10EZPJ6R8,Rohm,P8E10,119,AUTOMOTIVE,0805,-55degC..155degC
195-0191-000,0402,RES SCD 0402 243K 1% 1/16W,0.00026,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
095-0389-100,HSA_GPU_TM201_T_CU_1,FANSINK TM201 2BEARING 4PIN BLACK COLOR,6.66,DCV-01675-N1-HF,Cooler Master,P8E0-A-2,42,CCM,4PIN,Cooler Master
115-0401-000,XSOP08_P065_030X030,IC DUAL BIDIRECTIONAL I2C BUS AND SMBUS REPEATER TSSOP-8,0.145,PCA9515ADP,NXP,P8E0-B-1,56,CCM,MSOP8,[ ]..[ ]
195-0850-000,0603,RES SCD 0603 25.5K 1% 1/10W,0.00047,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0603,-55degC..155degC
032-0091-000,0805,CAP X7R 0805LP 1.0uF 50V 10.0% -10.0%,0.023,C2012X7R1H105KT0J0E,TDK,P8E8,56,CCM,0805LP,-55degC..125degC
195-3568-000,0603,RES SERVER 0603 1R 1% 1/10W,0.0017,Multi(4),Multi(4),P8E1-7cI-C-1,77,CCM,0603,-55degC..155degC
195-1112-000,0603,RES SCD 0603 90.9 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
195-0544-000,0402,RES SCD 0402 220K 5% 1/16W,0.00022,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
032-0374-000,0201,CAP X5R 0201 1.0uF +/-20.0% 4.0V,0.002,GRM033R60G105MEA2D,Murata,P8E10,63,CCM,0201,-55degC..85degC
115-0437-000,SO08_024X021,IC DECODER 2-TO-4 LINE 5V 4.9ns AT 3.3V DCU-8,0.095,SN74LVC1G139DCUR,TI,P8E10,97,CCM,VSSOP8,[ ]..[ ]
091-0043-000,SOT23,DIODE ARRAY SCHOTTKY BARRIER 30V 200mA SOT-23,0.0086,BAT54C,Pan Jit,P8E0-A-3,56,CCM,SOT23,-55degC..125degC
130-0989-000,IND_NONRKO_SMD_040X040_J,IND SMD_4X4 IRON 4.7uH 20.0% 5.1A 44.1mohm 0 0.0Hz 0.0Hz 0.0decibel,0.36,MND-04CZI4R7M-XB-RT,Mag Layers,P8E0-A-2,49,CCM,SMD_4X4,-55.15degC..125.05degC
300-0531-000,MULTI_SMD_SOT669_LFPAK_B,XSTR PWR MOSFET SINGLE N-CH 30V 171A 3.0mOHM MAX @ 4.5V SO-8 FL,0.28,NTMFS4897NFT1G,ON SEMI,P8E1-7a-A-1,98,CCM,LFPAK,-55degC..150degC
065-0684-000,CON_MISC_004_SMD_ST_M_P012_WTB,Header SMD Wire to Board RA 4 POS 1.2mm PITCH,0,DF58-4P1.2V,Hirose,P8E0-B-2,999,UNRESTRICTED,SMD_MT2,CON_MISC_004_SMD_ST_M_P012_WTB
090-0326-000,DIODE_SMD_SOD882,DIODE AUTOMOTIVE SOD882 Single 0.35 V 0.1 A RB521CS30L,0.013,RB521CS30L,NXP,P8E0-B-1,98,AUTOMOTIVE,SOD882,-65.15degC..150.05degC
151-10001-0429-076,BRKT_ATX_1TAB_1_DVIDVI_2_HDMI_3_DP_GK1X,BRACKET DUAL WIDE 1 TAB STACK DVI(3.185) DP(1.650) DP(0.760) WIDE VENTS,0.4,BWB-01083-Z0,KuangYing,P8E8,35,CCM,ATX_2X_TOP,BWB-01083-Z0
065-0673-000,CON_PEX_164_SMT_ST,Connector (TH Non High Temp) CONN THRU NON-HI TEMP PCI EXPRESS X16 EDGE FEMALE VERT 164 POS 1.0mm PITCH,0.9,87715-9309,Molex-Japan,P8E2-B-1,70,CCM,PHY-X16_100MILPCB,Validation
065-0661-000,CON_HDR_001X006_SMD_RA_M_P020,CON HDR 2.0MM RA 6POS SINGLE ROW SMD,0.78,951106-4620-AR-PR,3M,P8E10,63,CCM,NORM,N/A
130-0781-000,IND_SMD_0402_B,IND 0402 4.1nH +/-0.1nH 750.0mA 0.07ohm 25 250.0MHz 10.0GHz 0.0decibel,0.0178,LQW15AN4N1B00D,Murata,P8E0-B-2,70,CCM,0402,-55.15degC..125.05degC
300-1038-000,SOT323,N-CH MOSFET AUTOMOTIVE SOT323_1G1D1S 0.3A 12.0V 0.2W RJU003N03FRAT106,0.022,RJU003N03FRAT106,Rohm,P8E0-A-2,49,AUTOMOTIVE,SOT323_1G1D1S,-55.15degC..150.05degC
170-0281-000,SO08_048X038,IC SERIAL FLASH 25.0MHz SO_8 AT25DF041B-SSHN-T 4Mbit 1.65V TO 3.6V,0.30,AT25DF041B-SSHN-T,Adesto,P8E0-A-3,77,CCM,25MHz,-40.15degC..84.85degC
085-0285-000,XTAL_SMD_2_032X015,XTAL SMD_32X15 32.768KHz 20.0ppm Fundamental 12.5pF ECS-.327-12.5-34B-TR,[ ],ECS-.327-12.5-34B-TR,ECS,P8E0-A-2,999,CCM,SMD_32X15,-40.15degC..84.85degC
195-2799-000,0402,RES AUTOMOTIVE 0402 392.0 kohm 1.0 % 62.5 mW,0.0035,RCA0402392KFKED,Vishay,P8E10,63,AUTOMOTIVE,0402,-55degC..155degC
195-3161-000,0402,RES SERVER 0402 3.57K 1% 1/16W,0.00076,Multi(4),Multi(4),P8E1-7cI-C-1,70,UNRESTRICTED,0402,-55degC..155degC
195-2806-000,0402,RES AUTOMOTIVE 0402 8.25 kohm 1.0 % 62.5 mW,0.0035,RCA04028K25FKED,Vishay,P8E10,182,AUTOMOTIVE,0402,-55degC..155degC
101-0309-000,RF_FILTER_005_SMD_014X011,FILTER BP AUTOMOTIVE SMD_5 SAW 2595.0MHz 2.3decibel SAFEA2G59MA0F11R15 - Automotive,0.28,SAFEA2G59MA0F11R15,Murata,P8E10,45,AUTOMOTIVE,SMD_5,-30degC..85degC
130-0968-000,IND_NONRKO_TH_105X075,IND TH Ferrite 0.36uH 20.0% 40.0A 0.704mohm 0 0.0Hz 0.0Hz -999.0decibel,0.0686,LD-36BM33001-N1,TRIO,P8E0-A-2,49,CCM,TH,-55.15degC..125.05degC
115-2230-000,QFN032Q_P050_0054_T035X035,IC GENERAL Buffer QFN32 8INT31H800A HCSL 1:8 0-350MHz,0,8INT31H800ANLGI8,IDT,P8E10,60,CCM,QFN32,-40.15degC..84.85degC
130-0806-000,IND_NONRKO_SMD_060X060,IND SMD_6X6 metal dust 4.7uH 30.0% 3.0A 0.0312ohm -1 -1.0KHz -1.0MHz -999.0decibel,[ ],SPEB6045-4R7N-LF,Topsun,P8E0-A-2,49,CCM,SMD_6X6,-40.15degC..125.05degC
195-1783-000,0805_MICRO,RES 0805 680.0ohm 5.0% 125.0mW Pachinko,[ ],[ ],[ ],P8E10,0,PACHINKO,0805,-55degC..155degC
195-2340-000,0201,RES SCD 0201 221K 1% 1/20W,0.0009,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
090-0253-000,DFN06_P040_012X010,DIODE AUTOMOTIVE SLP_6_PIN RCLAMP0582N.TCT 3 Line Uni-Directional 7V 0.5pF,0,RCLAMP0582N.TCT,Samtec,P8E10,45,AUTOMOTIVE,SLP_6_PIN,-55degC..125degC
090-0105-000,DIODE_SMD_SOD523_B,DIODE SMD FAST SWITCHING 80V 250mA SOD-523,0.0105,1N4148WT-7,Diodes,P8E0-A-2,77,CCM,SOD523,-65degC..150degC
041-0142-000,CAP_SMD_7343,CAP POLY 470uF 20% 2V 7.3X4.3X1.9mm,0.1645,EEFSX0D471ER,Panasonic Electronic Devices,P8E8,70,CCM,SMD_7343,-40degC..105degC
220-0065-000,CON_SIM_010_SMD_RA_P025,SOCKET SIM CARD 8 POS 2.54mm PITCH,0.38313,5190008-306-H,Astron,P7,57,CCM,SIM_8PIN,Parameter N/A
195-2645-000,0201,RES SCD 0201 953K 1% 1/20W,0.0009,Multi(7),Multi(7),P8E1-7cI-A-2,49,SCD,0201,-55degC..125degC
131-0297-000,IND_SMD_168X127_CUTOUT,IND SMD 1.0uH 20% 24A 3.5 mOHM dcR MAX SHIELDED 12.8X12.8X3.8mm,0.36,SPS-OT35-001,Mag Layers,P7,35,CCM,SMD_13X13_CUTOUT,-20degC..125degC
115-1391-000,LIGHTSENSOR_04_SMD_075X053_ST,IC SENSOR Light QFN4 TSMP6000TT IC SENSOR Module Light TSMP6000TT,0.37,TSMP6000TT,Vishay,P8E8,60,CCM,QFN4,-25degC..85degC
100-0169-000,IND_SMD_0603,FER BEAD PACHINKO 0603 120 OHM@100MHz 0.18 OHM MAX dcR 500mA MAX,0.0032,MMZ1608R121ATA00~VERA,TDK,P8E8,45,PACHINKO,BEAD_0603,[ ]..[ ]
315-0879-000,SC70_5,VREG LOW NOISE ULTRA-FAST WITHOUT BYPASS CAPACITOR CMOS LDO OUTPUT 1.05V 150mA SC-70-5,0.11,RT9030-1KGU5,Richtek,P8E8,60,CCM,SC705,-40degC..125degC
195-2646-000,0201,RES SCD 0201 97.6 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
115-0441-000,SOT23_6,IC 12-BIT MICRO POWER DIGITAL-TO-ANALOG CONVERTER WITH RAIL-TO-RAIL OUTPUT TSOT-6,0.87,DAC121S101CIMKX NOPB,TI,P7,70,CCM,SOT6,[ ]..[ ]
195-0417-000,0402,RES SCD 0402 73.2 1% 1/16W,0.0006,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
316-0569-000,DFN08_P050_020X020_T013X007,VREG LED DRIVER DFN8 Boost 1MHz 2.7V 48V 5% % RT8511A,0.11,RT8511AGQW,Richtek,P8E0-A-3,84,CCM,DFN8,-40degC..85degC
195-1555-000,0603,RES PACHINKO 0603 1.37K 1% 1/10W,0.0156,RK73H1JTTD1371F~VERD,KOA Speer,P8E1-7cI-A-2,42,PACHINKO,0603,-55degC..155degC
195-3198-000,0402,RES SERVER 0402 8.66K 1% 1/16W,[ ],Multi(4),Multi(4),P8E1-7cI-C-1,999,UNRESTRICTED,0402,-55degC..155degC
032-0272-000,0402,CAP AUTOMOTIVE X7R 0402 220.0pF +/-10.0%,0.0027,0402YC221K4T4A-MY~VERA,AVX,P8E0-A-1,210,AUTOMOTIVE,0402,-55degC..125degC
120-0024-000,XSOP16_P065_050X044,IC QUICK SWITCH MUX/DEMUX 5.2ns 3.3V TSSOP-16,0.463,PI3B3253LE,Pericom,P8E0-A-2,85,CCM,TSOP16,[ ]..[ ]
215-0313-000,1206_LARGE,RES SENSE SERVER 1206W 10.0mohm 1.0% 50.0ppm 1.0W,0.027,WEL1206MR010F-T5,Thin Film,P8E0-A-2,49,CCM,1206W,-55.15degC..155.05degC
131-0182-000,IND_NONRKO_SMD_065X069,IND PWR 1.0uH 20% 7A 18.3 mOHM dcR SHIELDED SMD,0.22,IHLP2525AHER1R0M01,Vishay,P7,85,CCM,SMD_6X6,-55degC..125degC
115-2237-000,SOT23_5,IC GENERAL Opamp SOT23_5 OPA333AIDBVR,0,OPA333AIDBVR,TI,P8E0-A-1,60,CCM,SOT23_5,-40.15degC..125.05degC
075-0231-000,CON_HDR_002X013_TH_RA_M_P025_B,HDR THRU RIBBON CABLE DUAL ROW 2X13 MALE RA 2.54mm PITCH,2.11,HIF3BA-26PA-2.54DS(71),Hirose,P8E10,60,CCM,SMD_RA26,N/A
032-0944-000,0402_LARGE,CAP X6S 0402W 1.0uF +/-10.0% 25.0V,0.04,0402S105K250CT,Walsin,P8E0-A-2,63,CCM,0402W,-55degC..105degC
036-0136-000,0805,CAP X7R 0805 0.47uF 25V 10%,0.0068,Multi(4),Multi(4),P8E8,57,UNRESTRICTED,0805,-55degC..125degC
195-3118-000,0402,RES SERVER 0402 1.27K 1% 1/16W,0.00076,Multi(4),Multi(4),P8E1-7cI-C-1,49,UNRESTRICTED,0402,-55degC..155degC
174-0172-000,DFN08_P127_060X050_T035X044,IC SERIAL EEPROM AUTOMOTIVE 0.0MHz DFN8 CUBAUDINEU0002E_EU,[ ],CUBAUDINEU0002E,Cubic Telecom Limited,P8E10,30,AUTOMOTIVE,0Hz,-40.15degC..105.05degC
130-0873-000,IND_SMD_0201,IND 0201 HIGH FREQUENCY FILM 1.5nH 13.0% 0.8A 0.1ohm 16 500.0MHz 10.0GHz 0.0decibel,0,MHQ0603P1N5CT000,TDK,P8E0-A-2,999,CCM,0201,-55.15degC..125.05degC
315-0945-000,BGA_0090_P065_068X062,VREG AUTOMOTIVE BGA90 PMIC 0.6V 3.3875V MAX77663KEXJ+,[ ],MAX77663KEXJ+,Maxim,P8E10,60,AUTOMOTIVE,EMGA90_C,-40.15degC..84.85degC
032-0875-000,0201,CAP SCD X5R 0201 1nF 25V 10%,0.00057,Multi(6),Multi(6),P8E0-A-3,42,SCD,0201,-55degC..85degC
170-0289-000,BGA_0153_P050_115X130,IC e.MMC FLASH AUTOMOTIVE 5.0ns FBGA153 KLMAG2GEND-B041 16GB,[ ],KLMAG2GEND-B041,Samsung Electronics,P8E10,180,AUTOMOTIVE,5ns,-25.15degC..84.85degC
195-0272-000,0402,RES SCD 0402 36.5 1% 1/16W,0.00031,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
115-2003-000,XSOP08_P065_030X030,IC GENERAL AUTOMOTIVE Integrated Load Switch VSSOP8 P74610,0.618,P74610QDGKTQ1,TI,P8E10,60,AUTOMOTIVE,VSSOP8,-40.15degC..125.05degC
032-0369-000,0402,CAP AUTOMOTIVE X7R 0402 6.8nF +/-10.0% 50.0V,0.0091,VJ0402Y682KXAAC31X,Vishay,P8E10,70,AUTOMOTIVE,0402,-55degC..125degC
195-0639-000,0402,RES SCD 0402 820 5% 1/16W,0.00022,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
195-0042-000,0402,RES SCD 0402 12.1 1% 1/16W,0.0002,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
032-0790-000,0805,CAP X7R 0805 4.7uF +/-10.0% 16.0V,0.01664,GRM21BR71C475KA73L,Murata,P8E0-B-2,119,CCM,0805,-55degC..125degC
115-1879-000,QFN032Q_P050_055X055_T038X038_VIAS,IC AUTOMOTIVE Decoder- SDTV Video QFN32 ADV7281WBCPZ-M,[ ],ADV7281WBCPZ-M~0000,Analog Devices,P8E10,60,AUTOMOTIVE,QFN32,-40.15degC..105.05degC
195-0054-000,0402,RES SCD 0402 1.27K 1% 1/16W,0.00025,Multi(10),Multi(10),P8E1-7cI-A-2,42,SCD,0402,-55degC..155degC
130-0043-000,IND_SMD_0603,IND 0603 0.82uH 10% 2.1 OHM MAX dcR 35mA MAX,0.015,MLF1608DR82KT,TDK,P7,71,CCM,0603,-25degC..85degC
195-3151-000,0402,RES SERVER 0402 2.8K 1% 1/16W,0.00076,Multi(4),Multi(4),P8E1-7cI-C-1,49,UNRESTRICTED,0402,-55degC..155degC
115-0711-000,SC70_6,IC AUTOMOTIVE SINGLE-BIT DUAL-SUPPLY BUS TRANSCEIVER WITH CONFIGURABLE VOLTAGE TRANSLATION AND 3-STATE OUTPUTS SC70-6,0.11,SN74LVC1T45TDCKRQ1~VERB,TI,P8E0-A-2,56,AUTOMOTIVE,SC70_6,[ ]..[ ]
090-0206-000,DIODE_SMD_SMB,DIODE AUTOMOTIVE SMB 1 Line Bi-directional SMBJ33CAHE3/5B 36.7V,0.067,SMBJ33CAHE3/5B,Vishay,P8E10,45,AUTOMOTIVE,SMB,-55degC..150degC
130-0657-000,IND_NONRKO_SMD_082X082,IND AUTOMOTIVE L_SMD 15.0uH 20.0% 4.3A 85.3ohm -1 -1.0KHz 11.0MHz,[ ],IHLP3232CZER150M1A,Vishay,P8E10,60,AUTOMOTIVE,SMD_082X082,-55.15degC..125.05degC
102-0053-000,IND_NONRKO_SMD_020X012_B,FILTER LP AUTOMOTIVE SMDA_020X012 90.0ohm [] 25.0% 0.41ohm DLW21SZ900HQ2L,0.0414,DLW21SZ900HQ2L,Murata,P8E10,70,AUTOMOTIVE,SMDB_020X012,-40.15degC..105.05degC
032-0825-000,1206,CAP X7R 1206 10.0uF +/-10.0% 16.0V,0.01617,EMK316AB7106KL-T,Taiyo Yuden,P8E0-A-2,126,CCM,1206,-55degC..125degC
320-0366-000,MEC_STANDOFF_296C146P,"Standoff M3.0x0.5 L5.0mm Steel, Nickel Plate",0.04,DCS-00228-N1-HF,Cooler Master,P8E10,60,CCM,SMD,DCS-00228-N1-HF
106-0026-000,1206,FUSE PACHINKO RESETTABLE PTC 6V 500mA HOLD 1A TRIP 1206,0.046,1206L050-C~VERB,Littelfuse,P8E0-A-2,71,PACHINKO,0.15ohm..0.4ohm,-40degC..85degC
215-0190-000,RES_04_SMD_032X016,RES SENSE 1206 0.1ohm 1.0% 100.0ppm 0.5W,0.0248,WW12PR100FTL,Walsin,P8E8,60,CCM,1206,-55degC..155degC
032-0198-000,0402_LARGE,CAP X5R 0402W 22.0uF +/-20.0% 4.0 V,0.09,CL05A226MR5NUNC,SEMCO,P8E10,60,CCM,0402W,-55degC..85degC
130-0703-000,0201,IND AUTOMOTIVE 0201 27.0nH 3.0% 140.0mA 1.9ohm 12 500.0MHz 200.0MHz 0.0decibel,0.0078,LQP03TN27NHZ2D,Murata,P8E0-B-2,60,AUTOMOTIVE,0201,-55.15degC..125.05degC
035-0048-000,0603,CAP SCD C0G 0603 220pF 50V 5%,0.0013,Multi(12),Multi(12),P7,42,SCD,0603,-55degC..125degC
090-0004-000,DIODE_SMD_SOD323,DIODE SMD SCHOTTKY BARRIER 40Vdc 1000mAdc SOD-323,0.037,Multi(2),Multi(2),P8E0-B-1,85,CCM,SOD323,-65degC..150degC
195-0847-000,0603,RES SCD 0603 25.5 1% 1/10W,0.00072,Multi(10),Multi(10),P7,42,SCD,0603,-55degC..155degC
196-0041-000,0402,RES THIN FILM 0402 22.1K 0.1% 25PPM 1/16W,0.009,Multi(4),Multi(4),P8E8,42,CCM,0402,-55degC..155degC
195-1549-000,0603,RES PACHINKO 0603 4.7K 5% 1/10W,0.001,RK73B1JTTD472J~VERA,KOA Speer,P8E1-7cI-A-2,84,PACHINKO,0603,-55degC..155degC
195-2426-000,0201,RES SCD 0201 34 1% 1/20W,0.0009,Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
115-2147-000,SOT23_6,IC CONTROLLER Voltage Supervisor RT9801BGE SOT23_6 Ulta-low power Voltage supervisor IC Adj threshold voltage,0.085,RT9801BGE,Richtek,P8E0-A-3,98,CCM,SOT_23_6P,-40.15degC..125.05degC
195-1884-000,0402,RES AUTOMOTIVE 0402 30.9kohm 1.0% 62.5mW,0.0048,CRCW040230K9FKED,Vishay,P8E10,70,AUTOMOTIVE,0402,-55degC..155degC
065-0251-000,CON_MXMB_024_TPB_ST_P025,CONN NON-PHYSICAL PART MXM-B TESTPOINTS,0,[ ],[ ],Compliance Unknown,71,NON_PHYSICAL,MXMB_TP,Parameter N/A
064-0181-000,CON_MISC_004_TH_RA_M_P013_WTB,CONN SMT BOARD TO WIRE,0.05,50274-00401-001,Aces Electronic,P8E10,42,CCM,TH,CON_MISC_004_TH_RA_M_P013_WTB
115-1816-000,QFN072Q_P050_0105_T064X064_VIAS,IC CONTROLLER AUTOMOTIVE NetworkInterface OS81118 QFN72,5.14,OS81118AF-D1A-020200-V01,Microchip,P8E10,60,AUTOMOTIVE,QFN72,-40.15degC..125.05degC
195-2642-000,0201,RES SCD 0201 953 1% 1/20W,[ ],Multi(7),Multi(7),P8E1-7cI-A-2,42,SCD,0201,-55degC..125degC
080-0300-000,CON_SATA_7_SMT_RA_M_P013_168X084,CONN SMD SERIAL-ATA MALE RA 7 POS 1.27mm PITCH,0.37,5607-4200-SH,3M,P7,57,CCM,SMT_7_2,Released
