CONCISE NET LIST - 1  
AVDD_HSIC                U28              AL18     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
AVDD_IO_HDMI_DP0         C1054            1        C_0603W-4.7UF,X7S,10%,6.3V,032-1051-000-032-1051-000,4.7UF
AVDD_IO_HDMI_DP0         C1057            1        C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000
AVDD_IO_HDMI_DP0         LB504            2        L_BEAD_0402-30OHM,FERRITE,25%,[ ],1.7A,0.05OHM,[ ],N/A,N/A,100-0104-000-100-0104-000,30OHM
AVDD_IO_HDMI_DP0         U28              L9       U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
BATLOW                   J501             C7       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
BATLOW                   Q55              1        Q_FET_N_ENH_DFN1006-2N7002BKM,60V,1600MOHM@10V / 2000MOHM@4.5V / [ ]@2.5V,0.22A,1.2A,20V,0.715W,[ ]@10V / 0.6NC@4.5V / [ ]@2.5B
BATLOW                   U1               H7       U_PMU_MAX20024_BGA76-MAX20024DGXXJ/V+,0.6V..3.95V,2.6V..5.5V,0MA,PMIC,315-0956-000-315-0956-000
BATLOW                   U28              AV29     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
BCPU_PWR_EN              Q57              3        Q_FET_N_ENH_DFN1006-2N7002BKM,60V,1600MOHM@10V / 2000MOHM@4.5V / [ ]@2.5V,0.22A,1.2A,20V,0.715W,[ ]@10V / 0.6NC@4.5V / [ ]@2.5B
BCPU_PWR_EN              R259             2        R_0402-470OHM,1 %,62.5MW,195-1877-000-195-1877-000,470OHM
BCPU_PWR_EN              R3910            2        R_0402-100K,5 %,62.5MW,195-2696-000-100K,195-2696-000
BCPU_PWR_EN              U3530            3        U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
BCPU_PWR_REQ             Q61              1        Q_FET_N_ENH_SOT723-NTK3134NT1G,20V,-1000MOHM@10V / -1000MOHM@4.5V / 260MOHM@2.5V,0.89A,0.99A,6V,0.45W,[ ]@10V / [ ]@4.5V / [ ]B
BCPU_PWR_REQ             R259             1        R_0402-470OHM,1 %,62.5MW,195-1877-000-195-1877-000,470OHM
BCPU_PWR_REQ             U28              AT27     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
BST1_OVR2_CPU            C1240            1        C_0402-0.1UF,X7R,10%,50V,036-0193-000-0.1UF,036-0193-000
BST1_OVR2_CPU            U3530            1        U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
BST1_OVR2_GPU            C1238            1        C_0402-0.1UF,X7R,10%,50V,036-0193-000-0.1UF,036-0193-000
BST1_OVR2_GPU            U3526            1        U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
BST1_OVR2_SOC            C1242            1        C_0402-0.1UF,X7R,10%,50V,036-0193-000-0.1UF,036-0193-000
BST1_OVR2_SOC            U21              1        U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
BST2_OVR2_GPU            C1239            1        C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000
BST2_OVR2_GPU            U3526            15       U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
BT2_EN                   J501             B21      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
BT2_EN                   U28              E35      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
BT2_WAKE_AP              J501             B22      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
BT2_WAKE_AP              U28              F34      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
BT2_WAKE_AP_CVM          R29              2        R_0402-4.7K,5 %,62.5MW,195-2705-000-195-2705-000,4.7K
BT2_WAKE_AP_CVM          U28              B30      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
BUTTON_POWER_ON_AP       C270             1        C_0402-120PF,C0G,5%,50V,035-0142-000-035-0142-000,120PF
BUTTON_POWER_ON_AP       D2               1        D_SCHOTTKY_SOD882-CFSH05-20L,SINGLE,20V,3A,0.22V@10MA,0.5A,090-0283-000A-090-0283-000
BUTTON_POWER_ON_AP       J501             B50      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
BUTTON_POWER_ON_AP       Q69              3        Q_FET_N_ENH_DFN1006-2N7002BKM,60V,1600MOHM@10V / 2000MOHM@4.5V / [ ]@2.5V,0.22A,1.2A,20V,0.715W,[ ]@10V / 0.6NC@4.5V / [ ]@2.5B
BUTTON_POWER_ON_AP       R1               2        R_0402-10K,5 %,62.5MW,195-2713-000-10K,195-2713-000
BUTTON_POWER_ON_AP       R2               2        SHUNT_0201_SH-BASE
BUTTON_POWER_ON_AP       R672             2        SHUNT_0201_SH-BASE
BUTTON_POWER_ON_AP       R676             2        SHUNT_0201_SH-BASE
BUTTON_POWER_ON_AP       U1               D7       U_PMU_MAX20024_BGA76-MAX20024DGXXJ/V+,0.6V..3.95V,2.6V..5.5V,0MA,PMIC,315-0956-000-315-0956-000
BUTTON_POWER_ON_AP_D     D2               2        D_SCHOTTKY_SOD882-CFSH05-20L,SINGLE,20V,3A,0.22V@10MA,0.5A,090-0283-000A-090-0283-000
BUTTON_POWER_ON_AP_D     R37              2        R_0402-100K,5 %,62.5MW,195-2696-000-100K,195-2696-000
BUTTON_POWER_ON_AP_D     U28              G30      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM0_MCLK                C118             1        C_0402-4.7PF,C0G,0.1PF,50V,032-0606-000-032-0606-000,4.7PF
CAM0_MCLK                J501             F9       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM0_MCLK                LB7              2        L_BEAD_0402-120OHM,FERRITE,25%,[ ],1.2A,0.09OHM,[ ],N/A,N/A,100-0063-000-100-0063-000,120OHM
CAM0_PWDN                J501             G8       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM0_PWDN                U28              AV37     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM0_RST_L               J501             H8       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM0_RST_L               U28              AU37     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM1_MCLK                C117             1        C_0402-4.7PF,C0G,0.1PF,50V,032-0606-000-032-0606-000,4.7PF
CAM1_MCLK                J501             F8       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM1_MCLK                LB4              2        L_BEAD_0402-120OHM,FERRITE,25%,[ ],1.2A,0.09OHM,[ ],N/A,N/A,100-0063-000-100-0063-000,120OHM
CAM1_PWDN                J501             F7       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM1_PWDN                U28              AW30     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM1_RST_L               J501             H7       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM1_RST_L               U28              AU38     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM2_MCLK                C115             1        C_0402-4.7PF,C0G,0.1PF,50V,032-0606-000-032-0606-000,4.7PF
CAM2_MCLK                J501             E7       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM2_MCLK                LB5              2        L_BEAD_0402-120OHM,FERRITE,25%,[ ],1.2A,0.09OHM,[ ],N/A,N/A,100-0063-000-100-0063-000,120OHM
CAM2_MCLK_L              LB5              1        L_BEAD_0402-120OHM,FERRITE,25%,[ ],1.2A,0.09OHM,[ ],N/A,N/A,100-0063-000-100-0063-000,120OHM
CAM2_MCLK_L              U28              AY30     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAMFQ_MCLK_L             LB4              1        L_BEAD_0402-120OHM,FERRITE,25%,[ ],1.2A,0.09OHM,[ ],N/A,N/A,100-0063-000-100-0063-000,120OHM
CAMFQ_MCLK_L             U28              AT30     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAMRQ_MCLK_L             LB7              1        L_BEAD_0402-120OHM,FERRITE,25%,[ ],1.2A,0.09OHM,[ ],N/A,N/A,100-0063-000-100-0063-000,120OHM
CAMRQ_MCLK_L             U28              AM29     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM_FLASH_EN             J501             D7       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM_FLASH_EN             U28              AU26     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM_I2C_SCL_AP           J501             C6       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM_I2C_SCL_AP           R30              2        R_0402-1K,5 %,62.5MW,195-2712-000-195-2712-000,1K
CAM_I2C_SCL_AP           U28              AR30     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM_I2C_SDA_AP           J501             D6       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM_I2C_SDA_AP           R40              2        R_0402-1K,5 %,62.5MW,195-2712-000-195-2712-000,1K
CAM_I2C_SDA_AP           U28              AN29     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM_STROBE               J501             G7       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM_STROBE               U28              F24      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAM_VSYNC                J501             E8       CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAM_VSYNC                U28              AU40     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAN0_ERR                 J501             E18      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAN0_ERR                 U28              G27      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAN0_RX                  J501             D18      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAN0_RX                  U28              C29      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAN0_TX                  J501             D19      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAN0_TX                  U28              J27      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAN1_ERR                 J501             C19      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAN1_ERR                 U28              D29      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAN1_RX                  J501             D17      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAN1_RX                  U28              A29      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAN1_STBY                J501             C17      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAN1_STBY                U28              E29      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAN1_TX                  J501             C18      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAN1_TX                  U28              E27      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CAN_WAKE                 J501             C20      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CAN_WAKE                 U28              F29      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CARRIER_PWR_ON           J501             A48      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CARRIER_PWR_ON           R503             2        R_0402-10K,5 %,62.5MW,195-2713-000-10K,195-2713-000
CARRIER_PWR_ON           U10              C2       U_BUF_OD_DSBGA5-SN74AUP1G07,BUFFER - OPEN DRAIN,115-2068-000-115-2068-000
CARRIER_PWR_ON           U501             3        U_RST_TPS380X_SC70_5-TPS3803-01-EP,RESET,115-2088-000-115-2088-000
CLK_32K_IN               R663             2        R_0402-0OHM,0.05 OHM,62.5MW,195-1638-000-0OHM,195-1638-000
CLK_32K_IN               U28              D32      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
COMP_IN                  C502             1        C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000
COMP_IN                  R501             1        R_0402-17.4K,1 %,62.5MW,195-0120-000-17.4K,195-0120-000
COMP_IN                  R502             2        R_0402-23.7K,1 %,62.5MW,195-0185-000-195-0185-000,23.7K
COMP_IN                  U501             5        U_RST_TPS380X_SC70_5-TPS3803-01-EP,RESET,115-2088-000-115-2088-000
COMP_NEG                 C767             1        C_0402-0.1UF,X7R,10%,16V,036-0157-000-0.1UF,036-0157-000
COMP_NEG                 R586             1        R_0402-681K,1 %,62.5MW,195-0406-000-195-0406-000,681K
COMP_NEG                 R587             1        R_0402-34K,1 %,62.5MW,195-0260-000-195-0260-000,34K
COMP_NEG                 U515             4        U_COMP_SC70-5-NCS2202SQ2T2G,COMPARATOR,115-1572-000-115-1572-000
COMP_NEG_BATLOW          Q55              3        Q_FET_N_ENH_DFN1006-2N7002BKM,60V,1600MOHM@10V / 2000MOHM@4.5V / [ ]@2.5V,0.22A,1.2A,20V,0.715W,[ ]@10V / 0.6NC@4.5V / [ ]@2.5B
COMP_NEG_BATLOW          R586             2        R_0402-681K,1 %,62.5MW,195-0406-000-195-0406-000,681K
COMP_POS                 C823             1        C_0402-100PF,C0G,5%,50V,032-0168-000-032-0168-000,100PF
COMP_POS                 R588             1        R_0402-110K,1 %,62.5MW,195-0026-000-110K,195-0026-000
COMP_POS                 R592             1        R_0402-49.9K,1 %,62.5MW,195-1326-000-195-1326-000,49.9K
COMP_POS                 U515             3        U_COMP_SC70-5-NCS2202SQ2T2G,COMPARATOR,115-1572-000-115-1572-000
COMP_SOC_THERM_L         R591             2        R_0402-100K,5 %,62.5MW,195-2696-000-100K,195-2696-000
COMP_SOC_THERM_L         U28              A30      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
COMP_SOC_THERM_L         U515             1        U_COMP_SC70-5-NCS2202SQ2T2G,COMPARATOR,115-1572-000-115-1572-000
CPU_CLDVFS_PWM           R256             1        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
CPU_CLDVFS_PWM           U28              AR29     U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CPU_CLDVFS_VID           R256             2        R_0402-0OHM,0.05 OHM,63MW,195-1680-000-0OHM,195-1680-000
CPU_CLDVFS_VID           U3530            5        U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
CPU_INA_M                R686             2        R_0402-1OHM,5 %,62.5MW,195-0482-000-195-0482-000,1OHM
CPU_INA_M                VS7              2        VIRTUAL_SHORT_SHUNT-VIRTUAL_SHORT
CPU_INA_P                R685             2        R_0402-1OHM,5 %,62.5MW,195-0482-000-195-0482-000,1OHM
CPU_INA_P                VS8              2        VIRTUAL_SHORT_SHUNT-VIRTUAL_SHORT
CPU_PGOOD_OVR            R3886            2        R_0402-100K,5 %,62.5MW,195-2696-000-100K,195-2696-000
CPU_PGOOD_OVR            U3530            13       U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
CPU_REG_DCM_CCM_SEL      R3890            1        R_0402-10K,1 %,62.5MW,195-2685-000-10K,195-2685-000
CPU_REG_DCM_CCM_SEL      U3530            4        U_OPENVREG_TYPE2PLUS_QFN3X3-NCP81278MNTXG,BUCK,2PH,800KHZ,DYNAMIC VID,0MV..2V,1%,2V,24V,60A,2.5W,316-0479-000-2V,316-0479-000
CSI0_CLK_N               J501             G27      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CSI0_CLK_N               U28              A12      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CSI0_CLK_P               J501             G28      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
CSI0_CLK_P               U28              A11      U_CPU_T186_MID_BGA1292-T186-MID,[ ],TC790SA-A2-TC790SA-A2
CSI0_D0_N                J501             F28      CON_CVM_CVM10_MOD-CON_CVM_1_0,FEMALE,1.27MM,90,N/A,YES,N/A,NO,NO,240V,1.8A,080-1337-000-080-1337-000
